A/S                 0
AB                  0
AG                  0
APS                 0
AS                  A/S
ASA                 0
BV                  0
CO                  COMPANY
COMPANY             0
CORP                CORPORATION
CORPORACIÓN         CORPORATION
CORPORATION         0
COS                 COMPANY
ENTERPRISE          0
FIRM                0
FSB                 0
GMBH                0
IFS AB              0
INC                 INCORPORATED
INCORP              INCORPORATED
INCORPORATED        0
KG                  0
KGAA                0
KK                  0
LIMITED             0
LIMITED PARTNERSHIP 0
LLC                 0
LLP                 0
LP                  LIMITED PARTNERSHIP
LTD                 LIMITED
NA                  0
NO LIABILITY        0
NL                  NO LIABILITY
NV                  0
OY                  0
PA                  0
PC                  0
PLC                 0
PROPRIETARY         0
PROPRIETARY LIMITED 0
PTY                 PROPRIETARY
PTY LTD             PROPRIETARY LIMITED
SA                  0
SA DE CV            0
SACA                0
SARL                0
SAS                 0
SCARL               0
SCPA ARL            0
SCRL                0
SPA                 0
TBK                 0
