01001          Aerospace & Defense - Maintenance & Service                   
01002          Aerospace & Defense - Major Diversified
01003          Aerospace & Defense - Products
02001          Automotive & Transport Equipment - Auto Manufacturers
02001-02008    Automotive & Transport Equipment
02002          Automotive & Transport Equipment - Auto Parts
02003          Automotive & Transport Equipment - Motorcycles & Other Small-Engine Vehicles
02004          Automotive & Transport Equipment - Pleasure Boats
02005          Automotive & Transport Equipment - Rail & Trucking Equipment
02006          Automotive & Transport Equipment - Recreational Vehicles
02007          Automotive & Transport Equipment - Shipbuilding & Related Services
02008          Automotive & Transport Equipment - Trucks, Buses & Other Vehicles
03001          Banking - Banking & Financial Services
04001          Chemicals - Agricultural Chemicals
04001-04006    Chemicals
04002          Chemicals - Basic & Intermediate Chemicals & Petrochemicals
04003          Chemicals - Diversified Chemicals
04004          Chemicals - Paints, Coatings & Other Finishing Products
04005          Chemicals - Plastics & Fibers
04006          Chemicals - Specialty Chemicals 
05001          Computer Hardware - Computer Peripherals
05001-05008    Computer Hardware     
05002          Computer Hardware - Data Storage Devices
05003          Computer Hardware - Diversified Computer Products
05004          Computer Hardware - Electronic Business Equipment
05005          Computer Hardware - Large-Scale Computers
05006          Computer Hardware - Miscellaneous Computer-Based Systems
05007          Computer Hardware - Networking & Communication Devices
05008          Computer Hardware - Personal Computers
06001          Computer Software & Services - Communications Software
06001-06019    Computer Software & Services
06002          Computer Software & Services - Computer Products Distribution & Support
06003          Computer Software & Services - Corporate, Professional & Financial Software 
06004          Computer Software & Services - Data Processing Software & Services
06005          Computer Software & Services - Database & File Management Software
06006          Computer Software & Services - Development Tools, Operating Systems & Utility Software
06007          Computer Software & Services - Diversified Software
06008          Computer Software & Services - Document Management Software
06009          Computer Software & Services - Educational Software
06010          Computer Software & Services - Engineering, Scientific & CAD/CAM Software 
06011          Computer Software & Services - Entertainment & Games Software
06012          Computer Software & Services - Information Technology Consulting Services
06013          Computer Software & Services - Internet & Intranet Software & Services
06014          Computer Software & Services - Manufacturing & Industrial Software
06015          Computer Software & Services - Miscellaneous Computer Services 
06016          Computer Software & Services - Multimedia Production, Graphics & Publishing Software
06017          Computer Software & Services - Networking & Connectivity Software
06018          Computer Software & Services - Other Application Software 
06019          Computer Software & Services - Security Software & Services
07001          Conglomerates - Conglomerates
07002          Conglomerates - Trading Companies 
08001          Consumer Products - Durables-Appliances
08001-09007    Consumer Products
08002          Consumer Products - Durables-Consumer Electronics
08003          Consumer Products - Durables-Home Furnishings
08004          Consumer Products - Durables-Housewares & Accessories
08005          Consumer Products - Durables-Jewelry, Watches & Clocks
08006          Consumer Products - Durables-Lawn & Garden Equipment & Small Tools & Accessories
08007          Consumer Products - Durables-Miscellaneous Durable Consumer Goods
08008          Consumer Products - Durables-Office & Business Furniture & Fixtures
08009          Consumer Products - Durables-Photographic Equipment & Supplies 
08010          Consumer Products - Durables-Professional Sports Gear & Apparel
08011          Consumer Products - Durables-Sporting Goods 
08012          Consumer Products - Durables-Toys, Games & Other Recreational Goods
09001          Consumer Products - Non-Durables-Apparel-Clothing
09002          Consumer Products - Non-Durables-Apparel-Footwear & Accessories
09003          Consumer Products - Non-Durables-Business Forms & Other Office Supplies 
09004          Consumer Products - Non-Durables-Cleaning Products
09005          Consumer Products - Non-Durables-Luxury Goods 
09006          Consumer Products - Non-Durables-Miscellaneous Non-Durable Consumer Goods 
09007          Consumer Products - Non-Durables-Personal Care Products 
10001          Diversified Services - Accounting, Bookkeeping, Collection & Credit Reporting 
10002          Diversified Services - Advertising 
10003          Diversified Services - Building Maintenance & Related Services
10004          Diversified Services - Car & Truck Rental
10005          Diversified Services - Charitable Organizations
10006          Diversified Services - Child Care Services & Elementary & Secondary Schools 
10007          Diversified Services - Colleges & Universities  
10008          Diversified Services - Consumer Services
10009          Diversified Services - Education & Training Services
10010          Diversified Services - Foundations & Cultural Institutions
10011          Diversified Services - Legal Services
10012          Diversified Services - Management Consulting Services
10013          Diversified Services - Market & Business Research Services
10014          Diversified Services - Marketing & Public Relations Services
10015          Diversified Services - Membership Organizations   
10016          Diversified Services - Miscellaneous Business Services 
10017          Diversified Services - Personal Services
10018          Diversified Services - Printing, Photocopying & Graphic Design
10019          Diversified Services - Security & Protection Products & Services
10020          Diversified Services - Staffing, Outsourcing & Other Human Resources
10021          Diversified Services - Technical & Scientific Research Services
10022          Diversified Services - Telemarketing, Call Centers & Other Direct Marketing
11001          Drugs - Biotechnology-Medicine   
11001-11009    Drugs 
11002          Drugs - Biotechnology-Research  
11003          Drugs - Diagnostic Substances  
11004          Drugs - Drug Delivery Systems  
11005          Drugs - Drug Manufacturers-Major 
11006          Drugs - Drug Manufacturers-Other 
11007          Drugs - Drugs-Generic         
11008          Drugs - Drugs & Sundries-Wholesale
11009          Drugs - Vitamins, Nutritionals & Other Health-Related Products
